CVE,funcname,succeed,tp,tn,fp,fn,precision,recall,f1_score,false_positive,false_negative,failed_versions,func_not_found,target,no_sig
CVE-2009-0946,cff_charset_load,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2010-2497,cff_decoder_parse_charstrings,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2010-2497,gray_render_cubic,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2010-2498,psh_glyph_find_strong_points,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2010-2500,gray_render_span,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.3.12;2.3.11;2.3.10;2.4.0;2.4.1;2.4.2,,6,
CVE-2010-2500,ft_smooth_render_generic,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2010-2499,Mac_Read_POST_Resource,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2010-2519,Mac_Read_POST_Resource,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2010-2520,Ins_IUP,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2010-2805,FT_Stream_EnterFrame,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2010-2806,t42_parse_sfnts,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2010-2808,Mac_Read_POST_Resource,3,0,3,0,3,0.0000,0.0000,0.0000,2.4.1;2.4.0;2.3.12,,,,6,
CVE-2010-3814,Ins_SHZ,3,0,3,0,3,0.0000,0.0000,0.0000,2.4.3;2.4.2;2.4.1,,,,6,
CVE-2010-3855,ft_var_readpackedpoints,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.4.3;2.4.2;2.4.1;2.4.4;2.4.5;2.4.6,,6,
CVE-2012-5668,_bdf_parse_start,3,0,3,0,3,0.0000,0.0000,0.0000,2.4.10;2.4.9;2.4.8,,,,6,
CVE-2012-5669,_bdf_parse_glyphs,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.4.10;2.4.9;2.4.8;2.4.11;2.4.12;2.5.0-1,,6,
CVE-2012-5670,_bdf_parse_glyphs,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2014-9746,cid_parse_font_matrix,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,,6,
CVE-2014-9746,ps_parser_load_field,2,2,0,0,0,1.0000,1.0000,1.0000,,,2.5.3;2.5.4;2.5.5;2.6,,6,
CVE-2014-9746,t1_parse_font_matrix,5,2,3,0,1,1.0000,0.6667,0.8000,2.5.3,,,,6,
CVE-2014-9746,t42_parse_font_matrix,3,0,3,0,1,0.0000,0.0000,0.0000,2.5.3,,2.5.2;2.5.1,,6,
CVE-2014-9745,parse_encoding,3,0,3,0,3,0.0000,0.0000,0.0000,2.5.2;2.5.1;2.5.0,,,,6,
CVE-2014-2241,cf2_initLocalRegionBuffer,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2014-2241,cf2_initGlobalRegionBuffer,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2014-9670,pcf_get_encodings,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9671,pcf_read_TOC,4,3,1,2,0,0.6000,1.0000,0.7500,,2.5.5;2.6,,,6,
CVE-2014-9666,tt_sbit_decoder_init,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9667,check_table_dir,5,3,2,0,0,1.0000,1.0000,1.0000,,,2.6,,6,
CVE-2014-9667,tt_face_load_font_dir,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9668,woff_open_font,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9669,tt_cmap8_validate,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2014-9669,tt_cmap10_validate,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2014-9669,tt_cmap12_validate,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2014-9669,tt_cmap13_validate,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2014-9669,tt_cmap14_validate,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,6,true
CVE-2014-9664,parse_charstrings,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9664,t42_parse_charstrings,3,0,3,0,3,0.0000,0.0000,0.0000,2.5.3;2.5.2;2.5.1,,,,6,
CVE-2014-9665,Load_SBit_Png,3,3,0,3,0,0.5000,1.0000,0.6667,,2.5.4;2.5.5;2.6,,,6,
CVE-2014-9660,_bdf_parse_glyphs,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9661,T42_Open_Face,3,0,3,0,0,0.0000,0.0000,0.0000,,,2.5.3;2.5.2;2.5.1,,6,
CVE-2014-9661,t42_parse_sfnts,5,3,2,1,0,0.7500,1.0000,0.8571,,2.6,,,6,
CVE-2014-9662,cf2_builder_cubeTo,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9663,tt_cmap4_validate,4,3,1,2,0,0.6000,1.0000,0.7500,,2.5.5;2.6,,,6,
CVE-2014-9656,tt_sbit_decoder_load_image,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9657,tt_face_load_hdmx,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9658,tt_face_load_kern,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9673,Mac_Read_POST_Resource,3,3,0,3,0,0.5000,1.0000,0.6667,,2.5.4;2.5.5;2.6,,,6,
CVE-2014-9674,Mac_Read_POST_Resource,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2014-9659,cf2_hintmap_build,3,3,0,3,0,0.5000,1.0000,0.6667,,2.5.4;2.5.5;2.6,,,6,
CVE-2014-9659,cf2_interpT2CharString,0,0,0,0,0,0.0000,0.0000,0.0000,,,2.5.3;2.5.2;2.5.1;2.5.4;2.5.5;2.6,,6,
CVE-2015-9382,ps_parser_skip_PS_token,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2015-9290,T1_Get_Private_Dict,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2015-9381,T1_Get_Private_Dict,3,0,3,0,3,0.0000,0.0000,0.0000,2.5.5;2.5.4;2.5.3,,,,6,
CVE-2015-9383,tt_cmap14_validate,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2016-10328,cff_parser_run,6,3,3,0,0,1.0000,1.0000,1.0000,,,,,6,
CVE-2017-7864,tt_size_reset,5,3,2,1,0,0.7500,1.0000,0.8571,,2.9,,,6,
