TestJson(file='CVE-2015-8871-28d2eabca79d-openjpeg', cve='CVE-2015-8871', commit='', ground_truth='patch', project='openjpeg') is not valid
CVE-2016-10506 CVE-2016-10506-2d606701e8b7-openjpeg truth = patch result = vuln
CVE-2016-7163 CVE-2016-7163-22eb737d5d5d-openjpeg truth = patch result = patch
CVE-2016-7163 CVE-2016-7163-fb9eae5d637d-openjpeg truth = patch result = patch
CVE-2016-7163 CVE-2016-7163-774889a328ab-openjpeg truth = patch result = patch
CVE-2016-7163 CVE-2016-7163-80818c39f5bf-openjpeg truth = patch result = patch
CVE-2017-14039 CVE-2017-14039-5dd75f62e20e-openjpeg truth = patch result = patch
CVE-2017-14039 CVE-2017-14039-aaff099b4936-openjpeg truth = patch result = patch
CVE-2017-14039 CVE-2017-14039-1d358f25c8ea-openjpeg truth = patch result = patch
CVE-2017-14164 CVE-2017-14164-4e5501b3c72a-openjpeg truth = patch result = patch
CVE-2017-14164 CVE-2017-14164-c28965f255c7-openjpeg truth = patch result = patch
CVE-2017-14164 CVE-2017-14164-4f447c6e1844-openjpeg truth = patch result = patch
CVE-2017-14164 CVE-2017-14164-5dd75f62e20e-openjpeg truth = patch result = patch
CVE-2018-20847 CVE-2018-20847-29313eb5f1b2-openjpeg truth = patch result = vuln
TestJson(file='CVE-2018-20847-1d358f25c8ea-openjpeg', cve='CVE-2018-20847', commit='', ground_truth='patch', project='openjpeg') is not valid
TestJson(file='CVE-2018-20847-22eb737d5d5d-openjpeg', cve='CVE-2018-20847', commit='', ground_truth='patch', project='openjpeg') is not valid
TestJson(file='CVE-2018-20847-774889a328ab-openjpeg', cve='CVE-2018-20847', commit='', ground_truth='patch', project='openjpeg') is not valid
