project,CVE,func,succeed,target,false_positive,false_negative,failed_versions
curl,CVE-2017-2629,allocate_conn,3,6,3,0,
curl,CVE-2013-1944,tailmatch,4,4,0,0,
curl,CVE-2018-1000301,Curl_http_readwrite_headers,6,6,0,0,
curl,CVE-2017-9502,parseurlandfillconn,6,6,0,0,
curl,CVE-2018-16839,Curl_auth_create_plain_message,3,6,3,0,
curl,CVE-2023-46219,Curl_fopen,3,6,0,3,
curl,CVE-2016-8621,parsedate,6,6,0,0,
curl,CVE-2018-0500,Curl_smtp_escape_eob,5,6,0,1,
curl,CVE-2014-0015,ConnectionExists,3,6,3,0,
curl,CVE-2017-8817,setcharset,5,6,0,1,
curl,CVE-2019-5482,tftp_connect,6,6,0,0,
curl,CVE-2016-8624,parseurlandfillconn,3,6,3,0,
curl,CVE-2016-8618,alloc_addbyter,3,6,3,0,
curl,CVE-2016-9594,randit,3,6,1,0,/binaries/target/curl/curl-7.51.0-o0-curl;/binaries/target/curl/curl-7.50.3-o0-curl
curl,CVE-2020-8284,Curl_init_userdefined,3,6,3,0,
curl,CVE-2020-8177,getparameter,3,6,3,0,
curl,CVE-2017-8818,allocate_conn,5,5,0,0,
curl,CVE-2017-8816,Curl_ntlm_core_mk_ntlmv2_hash,6,6,0,0,
curl,CVE-2016-8625,curl_version,6,6,0,0,
curl,CVE-2016-8625,curl_version_info,6,6,0,0,
curl,CVE-2016-8625,fix_hostname,6,6,0,0,
